brand,name,type_size,product_url,image_url,scraped_date,net_weight,categorie,url_origine,volume
DIOR,J'adore L'or,,,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_201be39e827a8c3f2cf04105421e05d7_201be39.JPEG&w=828&q=100,2025-03-21 15:27:52,POIDS NET 400g,Extrait,https://www.extime.com/fr/paris/product/jadore-lor-83941649,50 ml
Hugo Boss,Dark Blue Pour Homme,,,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_b01b5626c95165841f2e7bb3d8d7c3b7_b01b562.JPEG&w=828&q=100,2025-03-21 15:27:52,POIDS NET 286g,Eau de Toilette,https://www.extime.com/fr/paris/product/dark-blue-pour-homme-83941895,75 ml
DIOR,"Miss Dior Parfum Notes Fleuries, Fruitées Et Boisées Intenses",,,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_540eeb4edd273d88b5ede324083d32f5_540eeb4.JPEG&w=828&q=100,2025-03-21 15:27:52,POIDS NET 168g,,https://www.extime.com/fr/paris/product/miss-dior-parfum-notes-fleuries-fruitees-et-boisees-intenses-100861850,50 ml
Calvin Klein,One,,,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_65ea54e674fe0c23166e2f870218886f_65ea54e.JPEG&w=828&q=100,2025-03-21 15:27:52,POIDS NET 170g,Eau de Toilette,https://www.extime.com/fr/paris/product/one-100878322,50 ml
Lancôme,Trésor Midnight Rose,,,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_2af9a64ed03363af2c5c3ae9a63ec981_2af9a64.JPEG&w=828&q=100,2025-03-21 15:27:52,POIDS NET 155g,Eau de Parfum,https://www.extime.com/fr/paris/product/tresor-midnight-rose-100861400,30 ml
Azzaro,Azzaro Sport,,,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_8c380c8adcf11668f9077897df3b0e17_8c380c8.JPEG&w=828&q=100,2025-03-21 15:27:52,POIDS NET 100g,Eau de Toilette,https://www.extime.com/fr/paris/product/azzaro-sport-100879326,100 ml
Nino Cerruti,Cerruti 1881 Pour Femme,,,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_140fed6ff56c0142923b5e6428bab4c6_140fed6.JPEG&w=828&q=100,2025-03-21 15:27:52,POIDS NET 205g,Eau de Toilette,https://www.extime.com/fr/paris/product/cerruti-1881-pour-femme-100879437,50 ml
DIOR,J'adore,,,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_2771b7d7cabbc49fb4fc4a009332d2ae_2771b7d.JPEG&w=828&q=100,2025-03-21 15:27:52,POIDS NET 252g,Eau de Parfum,https://www.extime.com/fr/paris/product/jadore-100907621,20 ml
DIOR,Sauvage Elixir,,,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_80f16dc4bdcbf14f59abf4de84e9ae18_80f16dc.JPEG&w=828&q=100,2025-03-21 15:27:52,POIDS NET 257g,Eau de Parfum,https://www.extime.com/fr/paris/product/sauvage-elixir-100861880,60 ml
Cacharel,Amor Amor,,,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_2dd50b603db6fcf20b93156aba34c111_2dd50b6.JPEG&w=828&q=100,2025-03-21 15:27:52,POIDS NET 219g,Eau de Toilette,https://www.extime.com/fr/paris/product/amor-amor-100845355,50 ml
