brand,name,type_size,product_url,image_url,scraped_date,net_weight
Veuve Clicquot,Carte Jaune,75 cl,https://www.extime.com/fr/paris/product/yellow-label-83931642,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_810972f03c09663019e95bde4af3a733_810972f.PNG&w=828&q=100,2025-03-20 10:06:29,POIDS NET 750g
Moët & Chandon,Brut Impérial,75 cl,https://www.extime.com/fr/paris/product/brut-imperial-100899711,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_fb8e49252bbc052701d72b2b345a6b11_fb8e492.JPEG&w=828&q=100,2025-03-20 10:06:29,POIDS NET 750g
Taittinger,Brut Réserve - Coffret Duo 2 bouteilles,1.5 l,https://www.extime.com/fr/paris/product/brut-reserve-2-pack-champagne-83931949,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_863d902e6136563fc8b12851394f330f_863d902.JPEG&w=828&q=100,2025-03-20 10:06:29,POIDS NET 1.5kg
Dom Pérignon,Vintage - Sous coffret,75 cl,https://www.extime.com/fr/paris/product/dom-perignon-83931794,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_87942f5aa3effb35bc11dbe7bcda9bc1_87942f5.JPEG&w=828&q=100,2025-03-20 10:06:29,POIDS NET 750g
Taittinger,Brut Réserve,75 cl,https://www.extime.com/fr/paris/product/brut-a-la-francaise-83931951,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_f6838e484416ba9e44c69af97e5eb6a0_f6838e4.JPEG&w=828&q=100,2025-03-20 10:06:29,POIDS NET 750g
Ruinart,R de Ruinart - Étui Seconde Peau,75 cl,https://www.extime.com/fr/paris/product/r-de-ruinart-etui-seconde-peau-100899063,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_7c4b4045904902e533516bf71152488e_7c4b404.JPEG&w=828&q=100,2025-03-20 10:06:29,POIDS NET 750g
Ruinart,Blanc de Blancs - Étui Seconde Peau,75 cl,https://www.extime.com/fr/paris/product/blanc-de-blancs-etui-seconde-peau-100901433,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_c56a905ba013af989b60eecda8fd0e15_c56a905.JPEG&w=828&q=100,2025-03-20 10:06:29,POIDS NET 750g
Moët & Chandon,Rosé Imperial,75 cl,https://www.extime.com/fr/paris/product/rose-imperial-100900026,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_21b9af390f65c958da161cd84fc2580f_21b9af3.JPEG&w=828&q=100,2025-03-20 10:06:29,POIDS NET 750g
Drappier,2 Bouteilles - Carte d'Or,1.5 l,https://www.extime.com/fr/paris/product/2-bouteilles-carte-dor-90568974,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_e8aab3694bd0167ef95c459f7b309678_e8aab36.JPEG&w=828&q=100,2025-03-20 10:06:29,POIDS NET 1.5kg
Ruinart,Rosé - Étui Seconde Peau,75 cl,https://www.extime.com/fr/paris/product/rose-etui-seconde-peau-100899101,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_d5d65822cbbb7c3e3e24af2e88efe5f5_d5d6582.JPEG&w=828&q=100,2025-03-20 10:06:29,POIDS NET 750g
