brand,name,categorie,volume,url_origine,image_url,scraped_date,net_weight
Nino Cerruti,Cerruti 1881 Pour Femme,Eau de Toilette,50 ml,https://www.extime.com/fr/paris/product/cerruti-1881-pour-femme-100879437,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_140fed6ff56c0142923b5e6428bab4c6_140fed6.JPEG&w=828&q=100,2025-03-20 10:01:45,POIDS NET 205g
DIOR,J'adore,Eau de Parfum,20 ml,https://www.extime.com/fr/paris/product/jadore-100907621,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_2771b7d7cabbc49fb4fc4a009332d2ae_2771b7d.JPEG&w=828&q=100,2025-03-20 10:01:45,POIDS NET 252g
Hugo Boss,Dark Blue Pour Homme,Eau de Toilette,75 ml,https://www.extime.com/fr/paris/product/dark-blue-pour-homme-83941895,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_b01b5626c95165841f2e7bb3d8d7c3b7_b01b562.JPEG&w=828&q=100,2025-03-20 10:01:45,POIDS NET 286g
Lancôme,Trésor Midnight Rose,Eau de Parfum,30 ml,https://www.extime.com/fr/paris/product/tresor-midnight-rose-100861400,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_2af9a64ed03363af2c5c3ae9a63ec981_2af9a64.JPEG&w=828&q=100,2025-03-20 10:01:45,POIDS NET 155g
Azzaro,Azzaro Sport,Eau de Toilette,100 ml,https://www.extime.com/fr/paris/product/azzaro-sport-100879326,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_8c380c8adcf11668f9077897df3b0e17_8c380c8.JPEG&w=828&q=100,2025-03-20 10:01:45,POIDS NET 100g
DIOR,J'adore L'or,Extrait,50 ml,https://www.extime.com/fr/paris/product/jadore-lor-83941649,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_201be39e827a8c3f2cf04105421e05d7_201be39.JPEG&w=828&q=100,2025-03-20 10:01:45,POIDS NET 400g
Calvin Klein,One,Eau de Toilette,50 ml,https://www.extime.com/fr/paris/product/one-100878322,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_65ea54e674fe0c23166e2f870218886f_65ea54e.JPEG&w=828&q=100,2025-03-20 10:01:45,POIDS NET 170g
DIOR,"Miss Dior Parfum Notes Fleuries, Fruitées Et Boisées Intenses",,50 ml,https://www.extime.com/fr/paris/product/miss-dior-parfum-notes-fleuries-fruitees-et-boisees-intenses-100861850,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_540eeb4edd273d88b5ede324083d32f5_540eeb4.JPEG&w=828&q=100,2025-03-20 10:01:45,POIDS NET 168g
DIOR,Sauvage Elixir,Eau de Parfum,60 ml,https://www.extime.com/fr/paris/product/sauvage-elixir-100861880,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_80f16dc4bdcbf14f59abf4de84e9ae18_80f16dc.JPEG&w=828&q=100,2025-03-20 10:01:45,POIDS NET 257g
DIOR,"Miss Dior Parfum Notes Fleuries, Fruitées Et Boisées Intenses",,50 ml,https://www.extime.com/fr/paris/product/miss-dior-parfum-notes-fleuries-fruitees-et-boisees-intenses-100861565,https://www.extime.com/_next/image?url=https%3A%2F%2Fd1kvfoyrif6wzg.cloudfront.net%2Fassets%2Fimages%2F655%2F60238%2Fnone_5f81d38d63cb315cc504d4db352f965e_5f81d38.JPEG&w=828&q=100,2025-03-20 10:01:45,POIDS NET 168g
